start_time,end_time,max_time,peak_width,peak_risetime,peak_falltime,peak_flux
119037503.09821191,119041492.09821191,119040535.09821191,3989.4712579319385,3031.727593636657,957.7436642952816,55.713005
119043795.09821191,119044806.09821191,119043857.09821191,1010.1104342006875,61.007644210141734,949.1027899905457,52.715366
119048312.09821191,119052727.09821191,119051573.09821191,4414.94071557156,3260.936820018658,1154.0038955529017,74.20314
119060572.86832996,119062212.86832996,119061216.86832996,1640.127910423802,643.7037194221848,996.4241910016171,173.27216
119103804.86832996,119104381.86832996,119104007.86832996,577.1619386823877,202.2973598152239,374.8645788671638,164.23862
119186094.63823438,119190517.63823438,119187159.63823438,4422.480012570064,1064.3183583406862,3358.1616542293777,66.26511
119195756.63823438,119196790.63823438,119196163.63823438,1034.1735379467718,406.2232171872165,627.9503207595553,99.15591
119199723.63823438,119202256.63823438,119200551.63823438,2532.5584672833866,827.1841267108539,1705.3743405725327,112.036865
119233151.42648828,119235546.42648828,119233308.42648828,2395.232836045325,156.23854896703028,2238.9942870782943,80.156044
119249869.42648828,119253527.42648828,119251853.42648828,3657.238742306221,1983.1169689237213,1674.1217733824997,68.12234
119278122.42648828,119285602.42648828,119279541.42648828,7480.102857731275,1418.799504266557,6061.303353464718,59.21921
119358380.1707949,119360910.1707949,119358799.1707949,2530.3108708828113,418.72188309034027,2111.588987792471,319.48444
119438292.12882128,119441457.12882128,119439600.12882128,3165.526041551995,1307.9064379841075,1857.6196035678877,329.5149
119446809.12882128,119448315.12882128,119447229.12882128,1505.8380361884047,419.65981865405047,1086.1782175343542,386.58224
119438119.12882128,119460752.12882128,119454888.12882128,22628.857255405102,16764.43774384705,5864.419511558051,378.54434
119458891.12882128,119459684.12882128,119459101.12882128,792.3467623751203,209.04825457752304,583.2985077975973,343.66074
119492090.85406445,119498195.85406445,119496435.85406445,6103.217488001517,4342.548150178846,1760.669337822671,178.73167
119531782.85406445,119537185.85406445,119533346.85406445,4775.060397463538,1563.2416999201923,3211.8186975433455,192.95395
119632109.11755665,119632737.11755665,119632288.11755665,628.0386467521603,178.4053928520807,449.6332539000796,5641.182
119666906.71617383,119668111.71617383,119667061.71617383,1205.4942009936217,154.84887212156036,1050.6453288720613,303.23456
119802282.68199708,119803336.68199708,119802726.68199708,1053.6715074403473,443.11140988704574,610.5600975533016,846.72864
119853798.44601367,119855862.44601367,119854016.44601367,773.6315717413017,217.70782928657354,555.9237424547282,351.75784
119863022.44601367,119865026.44601367,119864041.44601367,2004.3530228755262,1018.9749311420528,985.3780917334734,533.1937
119873718.44601367,119875333.44601367,119874462.44601367,1614.7378002372316,743.2138157462723,871.5239844909593,496.95944
119971492.20039843,119972361.20039843,119971782.20039843,869.3315881277886,289.94281724664324,579.3887708811453,685.0516
120006201.20039843,120006575.20039843,120006298.20039843,374.166868756176,96.86241245744895,277.304456298727,733.9776
120012166.02955858,120013389.02955858,120012948.02955858,1222.803827830183,781.7769966653912,441.02683116479193,76.8392
